Material	Material_Descr	Average_Price	Base UoM	No. Cases/Truck	Plant	Plant Descr.	Material Group	Material Grp. Descr.	Purchasing Group	Purch Grp. Descr.	Product Hierarchy	Product Hier. Descr.	Weight of a Truck	FDC_ID	Team Member
100216	APRICOTS DICED PEELED EX LT CAN-6/10	1.1914	lb	912	1000	DOMESTIC STATISTICAL 1000	702010	FRUIT, CANNED	110	AMS-FRUIT & VEG	101202002031220	FRUIT/APRICOT/CANNED	36936	462605	Kevin
100219	PEACHES CLING SLICES EX LT CAN-6/10	1.0731	lb	912	1000	DOMESTIC STATISTICAL 1000	702010	FRUIT, CANNED	110	AMS-FRUIT & VEG	101202013031220	FRUIT/PEACHES/CANNED	36252	562821	Kevin
100220	PEACHES CLING DICED EX LT  CAN-6/10	1.0706	lb	912	1000	DOMESTIC STATISTICAL 1000	702010	FRUIT, CANNED	110	AMS-FRUIT & VEG	101202013031220	FRUIT/PEACHES/CANNED	36252	1743245	Kevin
100224	PEARS SLICES EX LT CAN-6/10	1.2394	lb	912	1000	DOMESTIC STATISTICAL 1000	702010	FRUIT, CANNED	110	AMS-FRUIT & VEG	101202014031220	FRUIT/PEAR/CANNED	36024	381417	Kevin
100225	PEARS DICED EX LT CAN-6/10	1.0993	lb	912	1000	DOMESTIC STATISTICAL 1000	702010	FRUIT, CANNED	110	AMS-FRUIT & VEG	101202014031220	FRUIT/PEAR/CANNED	36024	534243	Kevin
100226	PEARS HALVES EX LT CAN-6/10	1.3109	lb	912	1000	DOMESTIC STATISTICAL 1000	702010	FRUIT, CANNED	110	AMS-FRUIT & VEG	101202014031220	FRUIT/PEAR/CANNED	36024	359054	Kevin
100238	PEACHES FREESTONE SLICES FRZ CTN-12/2 LB	1.7447	lb	1452	1000	DOMESTIC STATISTICAL 1000	702040	FRUIT, FROZEN	110	AMS-FRUIT & VEG	101202013031400	FRUIT/PEACHES/FROZEN	34848	2561820	Kevin
100241	PEACH FREESTONE DICED FRZ CUP-96/4.4 OZ	1.7016	lb	1400	1000	DOMESTIC STATISTICAL 1000	702040	FRUIT, FROZEN	110	AMS-FRUIT & VEG	101202013031400	FRUIT/PEACHES/FROZEN	36960	671632	Kevin
100242	BLUEBERRY WILD FRZ CTN-8/3 LB	1.4417	lb	1440	1000	DOMESTIC STATISTICAL 1000	702040	FRUIT, FROZEN	110	AMS-FRUIT & VEG	101202004031400	FRUIT/BLUEBERRY/FROZEN	34560	173950	Kevin
100254	STRAWBERRY SLICES FRZ CTN-30 LB	1.4695	lb	1320	1000	DOMESTIC STATISTICAL 1000	702040	FRUIT, FROZEN	110	AMS-FRUIT & VEG	101202019031400	FRUIT/STRAWBERRY/FROZEN	39600	401463	Kevin
100256	STRAWBERRY FRZ CUP-96/4.5 OZ	1.9049	lb	1400	1000	DOMESTIC STATISTICAL 1000	702040	FRUIT, FROZEN	110	AMS-FRUIT & VEG	101202019031400	FRUIT/STRAWBERRY/FROZEN	37800	168173	Kevin
100258	APPLE SLICES FRZ CTN-30 LB	1.135	lb	1320	1000	DOMESTIC STATISTICAL 1000	702040	FRUIT, FROZEN	110	AMS-FRUIT & VEG	101202001031400	FRUIT/APPLES/FROZEN	39600	171688	Kevin
100261	APRICOT FRZ CUP-96/4.5 OZ	1.7363	lb	1400	1000	DOMESTIC STATISTICAL 1000	702040	FRUIT, FROZEN	110	AMS-FRUIT & VEG	101202002031400	FRUIT/APRICOT/FROZEN	36960	171703	Kevin
100277	ORANGE JUICE SINGLE CTN-70/4 OZ	1.2585	lb	1920	1000	DOMESTIC STATISTICAL 1000	702050	FRUIT, JUICE	110	AMS-FRUIT & VEG	101202012031420	FRUIT/ORANGE/JUICE	36480	169098	Kevin
100283	ORANGES CTN-34-39 LB	TBD	lb	1026	1000	DOMESTIC STATISTICAL 1000	702030	FRUIT, FRESH	110	AMS-FRUIT & VEG	101202012031380	FRUIT/ORANGE/FRESH	37449	169097	Kevin
100293	RAISINS BOX-144/1.33 OZ	1.8823	lb	2964	1000	DOMESTIC STATISTICAL 1000	702020	FRUIT, DRIED	110	AMS-FRUIT & VEG	101202017031340	FRUIT/RAISINS/DRIED	35568	2557962	Kevin
100299	CHERRIES DRIED PKG-4/4 LB	4.7313	lb	1848	1000	DOMESTIC STATISTICAL 1000	702020	FRUIT, DRIED	110	AMS-FRUIT & VEG	101202005031340	FRUIT/CHERRY/DRIED	29568	171708	Kevin
100307	BEANS GREEN CAN-6/10	0.6804	lb	912	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602002531220	VEGETABLES/BEANS GREEN/CANNED	34656	621650	Kevin
100313	CORN WHOLE KERNEL(LIQ) CAN-6/10	0.8011	lb	912	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602004031220	VEGETABLES/CORN/CANNED	36252	169214	Kevin
100315	PEAS CAN-6/10	0.7164	lb	912	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602006031220	VEGETABLES/PEAS/CANNED	36024	383531	Kevin
100317	SWEET POTATOES W/ SYRUP CAN-6/10	0.7496	lb	912	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602010031220	VEGETABLES/SWEET POTATO/CANNED	36936	170083	Kevin
100327	TOMATO PASTE CAN-6/10	1.1782	lb	912	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602011031220	VEGETABLES/TOMATOES/CANNED	37957.44	170459	Kevin
100329	TOMATO DICED CAN-6/10	0.6354	lb	912	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602011031220	VEGETABLES/TOMATOES/CANNED	34884	333281	Kevin
100330	TOMATO SALSA CAN-6/10	0.8119	lb	912	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602011031220	VEGETABLES/TOMATOES/CANNED	36252	461278	Kevin
100334	TOMATO SAUCE CAN-6/10	0.6907	lb	912	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602011031220	VEGETABLES/TOMATOES/CANNED	36252	169074	Kevin
100336	SPAGHETTI SAUCE MEATLESS CAN-6/10	0.6912	lb	952	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602011031220	VEGETABLES/TOMATOES/CANNED	37842	411074	Kevin
100348	CORN FRZ CTN-30 LB	0.7853	lb	1320	1000	DOMESTIC STATISTICAL 1000	703040	VEGETABLE, FROZEN	110	AMS-FRUIT & VEG	103602004031400	VEGETABLES/CORN/FROZEN	39600	169217	Kevin
100350	PEAS GREEN FRZ CTN-30 LB	0.9363	lb	1320	1000	DOMESTIC STATISTICAL 1000	703040	VEGETABLE, FROZEN	110	AMS-FRUIT & VEG	103602006031400	VEGETABLES/PEAS/FROZEN	39600	170016	Kevin
100351	BEANS GREEN FRZ CTN-30 LB	0.8346	lb	1320	1000	DOMESTIC STATISTICAL 1000	703040	VEGETABLE, FROZEN	110	AMS-FRUIT & VEG	103602002531400	VEGETABLES/BEANS GREEN/FROZEN	39600	1103437	Kevin
100352	CARROTS FRZ CTN-30 LB	0.7121	lb	1320	1000	DOMESTIC STATISTICAL 1000	703040	VEGETABLE, FROZEN	110	AMS-FRUIT & VEG	103602003031400	VEGETABLES/CARROTS/FROZEN	39600	746764	Kevin
100355	POTATOES WEDGE FRZ PKG-6/5 LB	1.4279	lb	1320	1000	DOMESTIC STATISTICAL 1000	703040	VEGETABLE, FROZEN	110	AMS-FRUIT & VEG	103602007031400	VEGETABLES/POTATO/FROZEN	39600	168443	Kevin
100357	POTATOES OVENS FRY PKG-6/5 LB	1.2812	lb	1320	1000	DOMESTIC STATISTICAL 1000	703040	VEGETABLE, FROZEN	110	AMS-FRUIT & VEG	103602007031400	VEGETABLES/POTATO/FROZEN	39600	506167	Kevin
100359	BEANS BLACK TURTLE CAN-6/10	0.5286	lb	864	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602002031220	VEGETABLES/BEANS/CANNED	34992	175188	Kevin
100360	BEANS GARBANZO CAN-6/10	0.5253	lb	864	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602002031220	VEGETABLES/BEANS/CANNED	34992	173757	Kevin
100362	BEANS REFRIED CAN-6/10	0.9592	lb	864	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602002031220	VEGETABLES/BEANS/CANNED	36288	172438	Kevin
100364	BEANS VEGETARIAN CAN-6/10	0.575	lb	864	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602002031220	VEGETABLES/BEANS/CANNED	34992	384634	Kevin
100365	BEANS PINTO CAN-6/10	0.5333	lb	864	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602002031220	VEGETABLES/BEANS/CANNED	34992	174286	Dojun
100366	BEANS SMALL RED CAN-6/10	0.5398	lb	864	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602002031220	VEGETABLES/BEANS/CANNED	34992	747443	Dojun
100368	BEANS BLACKEYE CAN-6/10	0.7261	lb	864	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602002031220	VEGETABLES/BEANS/CANNED	34992	2644293	Dojun
100369	BEANS PINK CAN-6/10	0.6621	lb	864	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602002031220	VEGETABLES/BEANS/CANNED	34992	2342845	Dojun
100370	BEANS RED KIDNEY CAN-6/10	0.5508	lb	864	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602002031220	VEGETABLES/BEANS/CANNED	34992	174285	Dojun
100371	BEANS BABY LIMA CAN-6/10	0.5452	lb	864	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602002031220	VEGETABLES/BEANS/CANNED	34992	2345373	Dojun
100373	BEANS GREAT NORTHERN CAN-6/10	0.5472	lb	864	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602002031220	VEGETABLES/BEANS/CANNED	34992	175192	Dojun
100382	BEANS PINTO DRY PKG-12/2 LB	0.5425	lb	1680	1000	DOMESTIC STATISTICAL 1000	704010	BEANS, DRY	110	AMS-FRUIT & VEG	103602002031340	VEGETABLES/BEANS/DRY	40320	747445	Dojun
100396	PEANUT BUTTER SMOOTH JAR-6/5 LB	1.2686	lb	1232	1000	DOMESTIC STATISTICAL 1000	701010	PEANUT PRODUCTS	210	AMS-DOMESTIC	102202002031200	NUTS/PEANUT BUTTER/CANNED	36960	172458	Dojun
100400	FLOUR ALL PURP ENRCH BLCH BAG-8/5 LB	0.3847	lb	1071	1000	DOMESTIC STATISTICAL 1000	506020	FLOUR, WHEAT	210	AMS-DOMESTIC	100802001031100	FLOUR/ALL PURPOSE/BAG	42840	789890	Dojun
100409	FLOUR WHOLE WHEAT BAG-50 LB	0.311	lb	864	1000	DOMESTIC STATISTICAL 1000	506020	FLOUR, WHEAT	210	AMS-DOMESTIC	100802007031100	FLOUR/WHOLE WHEAT/BAG	43200	790085	Dojun
100417	FLOUR BAKER HARD WHT BLCH-BULK	0.3476	lb	0	1000	DOMESTIC STATISTICAL 1000	506015	FLOUR, BAKERY	210	AMS-DOMESTIC	100802002031180	FLOUR/BAKER/BULK	45000	170249	Dojun
100418	FLOUR BAKER HARD WHT UNBLCH-BULK	0.335	lb	0	1000	DOMESTIC STATISTICAL 1000	506015	FLOUR, BAKERY	210	AMS-DOMESTIC	100802002031180	FLOUR/BAKER/BULK	45000	170650	Dojun
100425	PASTA SPAGHETTI CTN-20 LB	2.7573	lb	2000	1000	DOMESTIC STATISTICAL 1000	504020	PASTA, OTHER	210	AMS-DOMESTIC	102602004031240	PASTA/SPAGHETTI/CARTON	40000	332282	Dojun
100439	OIL VEGETABLE BTL-6/1 GAL	0.9845	lb	800	1000	DOMESTIC STATISTICAL 1000	601010	VEG OIL PROD DOM	210	AMS-DOMESTIC	102402005031140	OIL/VEGETABLE/BOTTLE	36960	2345737	Dojun
100465	OATS ROLLED TUBE-12/42 OZ	0.7013	lb	1040	1000	DOMESTIC STATISTICAL 1000	503030	CEREAL, PROCESSED	210	AMS-DOMESTIC	101402004031580	GRAIN-PROCESSED/OATS/TUBE	32760	2346396	Dojun
