Material,Material_Descr,Average Price,Base UoM,No. Cases/Truck,Plant,Plant Descr.,Material Group,Material Grp. Descr.,Purchasing Group,Purch Grp. Descr.,Product Hierarchy,Product Hier. Descr.,Weight of a Truck,FDC_ID,Team Member,,,,,,,,,,
100125,TURKEY ROASTS FRZ CTN-32-48 LB, 	3.4099 ,LB,"1,000",1000,DOMESTIC STATISTICAL 1000,302020,"TURKEY, FROZEN",120,AMS-POULTRY,102802004031400,POULTRY/EGGS/TURKEY/FROZEN,"40,000.000",171097,Angela,,,,,,,,,,
100126,TURKEY HAMS SMKD FRZ CTN-40 LB, 	3.3933 ,LB,"1,000",1000,DOMESTIC STATISTICAL 1000,302030,"TURKEY, COOKED",120,AMS-POULTRY,102802004031400,POULTRY/EGGS/TURKEY/FROZEN,"40,000.000",2122879,Angela,,,,,,,,,,
100127,BEEF CAN-24/24 OZ, 	4.3186 ,LB,"1,000",1000,DOMESTIC STATISTICAL 1000,101010,"BEEF, CANNED",130,AMS-LIVESTOCK,101802001031220,MEAT/BEEF/CANNED,"36,000.000",173330,Angela,,,,,,,,,,
100134,BEEF CRUMBLES W/SPP PKG-4/10 LB, 	3.7288 ,LB,"1,000",1000,DOMESTIC STATISTICAL 1000,101040,"BEEF, COOKED",130,AMS-LIVESTOCK,101802001031280,MEAT/BEEF/COOKED,"40,000.000",169473,Angela,,,,,,,,,,
100139,PORK CAN-24/24 OZ, 	2.2143 ,LB,"1,000",1000,DOMESTIC STATISTICAL 1000,102010,"PORK, CANNED",130,AMS-LIVESTOCK,101802006031220,MEAT/PORK/CANNED,"36,000.000",167886,Angela,,,,,,,,,,
100154,BEEF COARSE GROUND FRZ CTN-60 LB, 	3.0920 ,LB,0,1000,DOMESTIC STATISTICAL 1000,101030,"BEEF, GROUND",130,AMS-LIVESTOCK,101802001031400,MEAT/BEEF/FROZEN,"42,000.000",2341259,Angela,,,,,,,,,,
100155,BEEF FRESH BNLS BULK COMBO-20/2000 LB, 	2.9933 ,LB,0,1000,DOMESTIC STATISTICAL 1000,101070,"BEEF, FRESH",130,AMS-LIVESTOCK,101802001031380,MEAT/BEEF/FRESH,"40,000.000",N/A,Angela,,,,,,,,,,
100156,BEEF BNLS SPECIAL TRM FRZ CTN-60 LB, 	5.4333 ,LB,0,1000,DOMESTIC STATISTICAL 1000,101060,"BEEF, SPECIAL TRIM",130,AMS-LIVESTOCK,101802001031400,MEAT/BEEF/FROZEN,"42,000.000",N/A,Angela,,,,,,,,,,
100158,BEEF FINE GROUND FRZ CTN-40 LB, 	3.4608 ,LB,"1,000",1000,DOMESTIC STATISTICAL 1000,101030,"BEEF, GROUND",130,AMS-LIVESTOCK,101802001031400,MEAT/BEEF/FROZEN,"40,000.000",2341259,Angela,,,,,,,,,,
100163,BEEF PATTY LEAN FRZ CTN-40 LB, 	4.2559 ,LB,950,1000,DOMESTIC STATISTICAL 1000,101030,"BEEF, GROUND",130,AMS-LIVESTOCK,101802001031400,MEAT/BEEF/FROZEN,"38,000.000",168651,Angela,,,,,,,,,,
